,link,hour,qlength,congestion,nvehicles
127,22043,7-8,312.492,0.22721893491124262,32
128,22044,7-8,0.0,0.2805194805194805,36
129,22045,7-8,312.272,0.16744186046511628,24
130,22046,7-8,7.464999999999918,0.19072847682119207,24
131,22047,7-8,1.6649999999999636,0.22622950819672133,23
132,22048,7-8,0.0,0.05833333333333334,7
133,31001,7-8,118.519,0.39333333333333337,59
134,31002,7-8,118.519,0.3567567567567567,55
135,31003,7-8,25.319000000000074,0.20470588235294115,29
136,31004,7-8,414.05400000000003,0.37078651685393255,55
137,31005,7-8,1.3290000000000646,0.3958115183246073,63
138,31006,7-8,13.379000000000019,0.3320754716981132,44
139,31007,7-8,413.844,0.2641509433962264,35
140,31008,7-8,419.764,0.3564356435643564,60
141,31009,7-8,420.144,0.36705882352941177,52
142,31010,7-8,441.414,0.31875,51
143,31011,7-8,413.92400000000004,0.31153846153846154,54
144,31012,7-8,118.519,0.4018867924528302,71
145,31013,7-8,414.014,0.3407407407407408,46
146,31014,7-8,7.448999999999955,0.1949238578680203,32
147,31015,7-8,7.448999999999955,0.36491228070175435,52
148,31016,7-8,419.754,0.31741935483870964,41
149,31017,7-8,431.744,0.2482758620689655,36
150,31018,7-8,20.12900000000002,0.35555555555555557,48
151,31019,7-8,20.12900000000002,0.4311377245508982,60
152,31020,7-8,432.11400000000003,0.4621118012422361,62
153,31021,7-8,55.38900000000001,0.4421052631578947,56
154,31022,7-8,125.519,0.26326530612244897,43
155,31023,7-8,60.599000000000046,0.40634920634920635,64
156,31024,7-8,413.86400000000003,0.39779005524861877,60
157,31025,7-8,30.999000000000024,0.3472081218274112,57
158,31026,7-8,413.874,0.2740740740740741,37
159,31027,7-8,414.074,0.29419354838709677,38
160,31028,7-8,414.034,0.22829268292682925,39
161,31029,7-8,419.294,0.2787096774193549,36
162,31030,7-8,30.528999999999996,0.24545454545454543,36
163,31031,7-8,31.62900000000002,0.3098901098901099,47
164,31032,7-8,37.35900000000004,0.43902439024390244,60
165,31033,7-8,420.474,0.345,46
166,31034,7-8,419.014,0.3479289940828402,49
167,31035,7-8,413.874,0.3592814371257485,50
168,31036,7-8,426.384,0.3716129032258065,48
169,31037,7-8,19.829000000000065,0.338255033557047,42
170,31038,7-8,425.954,0.3567567567567568,44
171,31039,7-8,437.72400000000005,0.3406451612903226,44
172,31040,7-8,1.5690000000000737,0.4348993288590604,54
173,31041,7-8,0.0,0.26037735849056604,46
174,32001,7-8,163.74599999999992,0.16,24
175,32002,7-8,13.896999999999935,0.2594594594594595,40
176,32003,7-8,337.62699999999995,0.27529411764705886,39
177,32004,7-8,337.68699999999995,0.18876404494382024,28
178,32005,7-8,337.68699999999995,0.16963350785340317,27
179,32006,7-8,69.34699999999998,0.24150943396226413,32
180,32007,7-8,146.47599999999989,0.13584905660377358,18
181,32008,7-8,368.2369999999999,0.2198019801980198,37
182,32009,7-8,25.156999999999925,0.3247058823529412,46
183,32010,7-8,6.626999999999953,0.1375,22
184,32011,7-8,95.21699999999998,0.19615384615384615,34
185,32012,7-8,337.6569999999999,0.31698113207547174,56
186,32013,7-8,32.06700000000001,0.21481481481481482,29
187,32014,7-8,369.14699999999993,0.2436548223350254,40
188,32015,7-8,146.89599999999996,0.35789473684210527,51
189,32016,7-8,83.60699999999997,0.20129032258064516,26
190,32017,7-8,350.83699999999993,0.11724137931034484,17
191,32018,7-8,343.99699999999996,0.23703703703703702,32
192,32019,7-8,337.38699999999994,0.1940119760479042,27
193,32020,7-8,337.76699999999994,0.27577639751552796,37
194,32021,7-8,159.46599999999995,0.2289473684210526,29
195,32022,7-8,76.65699999999993,0.22653061224489796,37
196,32023,7-8,337.6769999999999,0.31111111111111106,49
197,32024,7-8,343.77699999999993,0.19226519337016573,29
198,32025,7-8,337.5469999999999,0.18883248730964466,31
199,32026,7-8,337.52699999999993,0.21481481481481482,29
200,32027,7-8,1.3969999999999345,0.2864516129032258,37
