period,inter,direc,cycle,type,pollutant,emi
morning1,Dunbar,SB,32,61,Total Gaseous Hydrocarbons,21.602164230833985
morning1,Dunbar,SB,32,52,Total Energy,0.0
morning1,Dunbar,SB,32,52,Atmospheric CO2,0.0
morning1,Dunbar,SB,32,52,Nitrous Oxide,0.0
morning1,Dunbar,SB,32,52,Methane,0.0
morning1,Dunbar,SB,32,52,Total Gaseous Hydrocarbons,0.0
morning1,Dunbar,SB,32,42,Total Energy,0.0
morning1,Dunbar,SB,32,42,Atmospheric CO2,0.0
morning1,Dunbar,SB,32,42,Nitrous Oxide,0.0
morning1,Dunbar,SB,32,42,Methane,0.0
morning1,Dunbar,SB,32,42,Total Gaseous Hydrocarbons,0.0
morning1,Dunbar,SB,32,21,Total Energy,2119779069.466
morning1,Dunbar,SB,32,21,Atmospheric CO2,152371.99874999997
morning1,Dunbar,SB,32,21,Nitrous Oxide,0.6697998945877001
morning1,Dunbar,SB,32,21,Methane,2.44441275902769
morning1,Dunbar,SB,32,21,Total Gaseous Hydrocarbons,22.411681320999993
morning1,Dunbar,SB,31,61,Total Energy,966324860.7064
morning1,Dunbar,SB,31,61,Atmospheric CO2,71180.46731376999
morning1,Dunbar,SB,31,61,Nitrous Oxide,0.06070399553100001
morning1,Dunbar,SB,31,61,Methane,1.04001157755581
morning1,Dunbar,SB,31,61,Total Gaseous Hydrocarbons,7.437958858650001
morning1,Dunbar,SB,31,52,Total Energy,868068980.0
morning1,Dunbar,SB,31,52,Atmospheric CO2,63474.55910000001
morning1,Dunbar,SB,31,52,Nitrous Oxide,0.24900131090000002
morning1,Dunbar,SB,31,52,Methane,1.8404134764200009
morning1,Dunbar,SB,31,52,Total Gaseous Hydrocarbons,26.837137099999996
morning1,Dunbar,SB,31,42,Total Energy,0.0
morning1,Dunbar,SB,31,42,Atmospheric CO2,0.0
morning1,Dunbar,SB,31,42,Nitrous Oxide,0.0
morning1,Dunbar,SB,31,42,Methane,0.0
morning1,Dunbar,SB,31,42,Total Gaseous Hydrocarbons,0.0
morning1,Dunbar,SB,31,21,Total Energy,3576660902.065
morning1,Dunbar,SB,31,21,Atmospheric CO2,257093.9280082
morning1,Dunbar,SB,31,21,Nitrous Oxide,1.1450902358551003
morning1,Dunbar,SB,31,21,Methane,3.7770049147356
morning1,Dunbar,SB,31,21,Total Gaseous Hydrocarbons,35.76762477300001
morning1,Dunbar,SB,30,61,Total Energy,120724900.84474002
morning1,Dunbar,SB,30,61,Atmospheric CO2,8892.729249861997
morning1,Dunbar,SB,30,61,Nitrous Oxide,0.021258200985920003
morning1,Dunbar,SB,30,61,Methane,0.46675755125664126
morning1,Dunbar,SB,30,61,Total Gaseous Hydrocarbons,3.414877576225001
morning1,Dunbar,SB,30,52,Total Energy,173428945.0
morning1,Dunbar,SB,30,52,Atmospheric CO2,12662.515520000003
morning1,Dunbar,SB,30,52,Nitrous Oxide,0.0609008664
morning1,Dunbar,SB,30,52,Methane,0.4764862934299999
morning1,Dunbar,SB,30,52,Total Gaseous Hydrocarbons,4.670882770000001
morning1,Dunbar,SB,30,42,Total Energy,0.0
morning1,Dunbar,SB,30,42,Atmospheric CO2,0.0
morning1,Dunbar,SB,30,42,Nitrous Oxide,0.0
morning1,Dunbar,SB,30,42,Methane,0.0
morning1,Dunbar,SB,30,42,Total Gaseous Hydrocarbons,0.0
morning1,Dunbar,SB,30,21,Total Energy,3348560630.227
morning1,Dunbar,SB,30,21,Atmospheric CO2,240698.10475970004
morning1,Dunbar,SB,30,21,Nitrous Oxide,1.0716831924612
morning1,Dunbar,SB,30,21,Methane,3.8223681834370993
morning1,Dunbar,SB,30,21,Total Gaseous Hydrocarbons,34.984735459
morning1,Dunbar,SB,29,61,Total Energy,669227972.4073
morning1,Dunbar,SB,29,61,Atmospheric CO2,49296.01862304199
morning1,Dunbar,SB,29,61,Nitrous Oxide,0.07243087394700001
morning1,Dunbar,SB,29,61,Methane,1.1994440342389683
morning1,Dunbar,SB,29,61,Total Gaseous Hydrocarbons,8.29474368115
morning1,Dunbar,SB,29,52,Total Energy,0.0
morning1,Dunbar,SB,29,52,Atmospheric CO2,0.0
morning1,Dunbar,SB,29,52,Nitrous Oxide,0.0
morning1,Dunbar,SB,29,52,Methane,0.0
morning1,Dunbar,SB,29,52,Total Gaseous Hydrocarbons,0.0
morning1,Dunbar,SB,29,42,Total Energy,642927638.41
morning1,Dunbar,SB,29,42,Atmospheric CO2,47328.22835400001
morning1,Dunbar,SB,29,42,Nitrous Oxide,0.10711001819000002
morning1,Dunbar,SB,29,42,Methane,2.1668511559970014
morning1,Dunbar,SB,29,42,Total Gaseous Hydrocarbons,21.05524609500001
morning1,Dunbar,SB,29,21,Total Energy,2493789243.507
morning1,Dunbar,SB,29,21,Atmospheric CO2,179256.16182670003
morning1,Dunbar,SB,29,21,Nitrous Oxide,0.7355034731747998
morning1,Dunbar,SB,29,21,Methane,3.5538855207962006
morning1,Dunbar,SB,29,21,Total Gaseous Hydrocarbons,30.486789969
