period,inter,direc,cycle,type,pollutant,emi
morning1,Sheldon,NB,1,21,Total Gaseous Hydrocarbons,57.517280073
morning1,Sheldon,SB,40,61,Total Energy,1579850635.9581997
morning1,Sheldon,SB,40,61,Atmospheric CO2,116373.40396239996
morning1,Sheldon,SB,40,61,Nitrous Oxide,0.105738486701
morning1,Sheldon,SB,40,61,Methane,1.703829191683872
morning1,Sheldon,SB,40,61,Total Gaseous Hydrocarbons,12.612477471809997
morning1,Sheldon,SB,40,52,Total Energy,252550572.0
morning1,Sheldon,SB,40,52,Atmospheric CO2,18456.470799999996
morning1,Sheldon,SB,40,52,Nitrous Oxide,0.0649117414
morning1,Sheldon,SB,40,52,Methane,0.54520342412
morning1,Sheldon,SB,40,52,Total Gaseous Hydrocarbons,8.07377398
morning1,Sheldon,SB,40,42,Total Energy,0.0
morning1,Sheldon,SB,40,42,Atmospheric CO2,0.0
morning1,Sheldon,SB,40,42,Nitrous Oxide,0.0
morning1,Sheldon,SB,40,42,Methane,0.0
morning1,Sheldon,SB,40,42,Total Gaseous Hydrocarbons,0.0
morning1,Sheldon,SB,40,21,Total Energy,3839241260.74
morning1,Sheldon,SB,40,21,Atmospheric CO2,275968.42909369996
morning1,Sheldon,SB,40,21,Nitrous Oxide,1.1696774843185
morning1,Sheldon,SB,40,21,Methane,6.1275083722081
morning1,Sheldon,SB,40,21,Total Gaseous Hydrocarbons,51.53937977499999
morning1,Sheldon,SB,39,61,Total Energy,2452695557.3787003
morning1,Sheldon,SB,39,61,Atmospheric CO2,180668.00466535
morning1,Sheldon,SB,39,61,Nitrous Oxide,0.17231367393699992
morning1,Sheldon,SB,39,61,Methane,3.3333255859643542
morning1,Sheldon,SB,39,61,Total Gaseous Hydrocarbons,25.46387806386
morning1,Sheldon,SB,39,52,Total Energy,126475835.0
morning1,Sheldon,SB,39,52,Atmospheric CO2,9239.124099999997
morning1,Sheldon,SB,39,52,Nitrous Oxide,0.0435570656
morning1,Sheldon,SB,39,52,Methane,0.317594475112
morning1,Sheldon,SB,39,52,Total Gaseous Hydrocarbons,3.973800169999999
morning1,Sheldon,SB,39,42,Total Energy,0.0
morning1,Sheldon,SB,39,42,Atmospheric CO2,0.0
morning1,Sheldon,SB,39,42,Nitrous Oxide,0.0
morning1,Sheldon,SB,39,42,Methane,0.0
morning1,Sheldon,SB,39,42,Total Gaseous Hydrocarbons,0.0
morning1,Sheldon,SB,39,21,Total Energy,3670621380.059
morning1,Sheldon,SB,39,21,Atmospheric CO2,263848.10857909994
morning1,Sheldon,SB,39,21,Nitrous Oxide,1.2355688760516998
morning1,Sheldon,SB,39,21,Methane,2.8530402135601998
morning1,Sheldon,SB,39,21,Total Gaseous Hydrocarbons,30.345088468
morning1,Sheldon,SB,38,61,Total Energy,0.0
morning1,Sheldon,SB,38,61,Atmospheric CO2,0.0
morning1,Sheldon,SB,38,61,Nitrous Oxide,0.0
morning1,Sheldon,SB,38,61,Methane,0.0
morning1,Sheldon,SB,38,61,Total Gaseous Hydrocarbons,0.0
morning1,Sheldon,SB,38,52,Total Energy,0.0
morning1,Sheldon,SB,38,52,Atmospheric CO2,0.0
morning1,Sheldon,SB,38,52,Nitrous Oxide,0.0
morning1,Sheldon,SB,38,52,Methane,0.0
morning1,Sheldon,SB,38,52,Total Gaseous Hydrocarbons,0.0
morning1,Sheldon,SB,38,42,Total Energy,0.0
morning1,Sheldon,SB,38,42,Atmospheric CO2,0.0
morning1,Sheldon,SB,38,42,Nitrous Oxide,0.0
morning1,Sheldon,SB,38,42,Methane,0.0
morning1,Sheldon,SB,38,42,Total Gaseous Hydrocarbons,0.0
morning1,Sheldon,SB,38,21,Total Energy,3809675865.5699997
morning1,Sheldon,SB,38,21,Atmospheric CO2,273843.46439169993
morning1,Sheldon,SB,38,21,Nitrous Oxide,1.4021501339740001
morning1,Sheldon,SB,38,21,Methane,2.68425150340937
morning1,Sheldon,SB,38,21,Total Gaseous Hydrocarbons,30.39770953
morning1,Sheldon,SB,37,61,Total Energy,1863362042.9659
morning1,Sheldon,SB,37,61,Atmospheric CO2,137257.18109085996
morning1,Sheldon,SB,37,61,Nitrous Oxide,0.0882814272018
morning1,Sheldon,SB,37,61,Methane,1.4896514576887967
morning1,Sheldon,SB,37,61,Total Gaseous Hydrocarbons,10.8382148417
morning1,Sheldon,SB,37,52,Total Energy,3618927790.0
morning1,Sheldon,SB,37,52,Atmospheric CO2,264375.99200000014
morning1,Sheldon,SB,37,52,Nitrous Oxide,1.0863632729999995
morning1,Sheldon,SB,37,52,Methane,8.387383801199999
morning1,Sheldon,SB,37,52,Total Gaseous Hydrocarbons,91.60005499999998
morning1,Sheldon,SB,37,42,Total Energy,0.0
morning1,Sheldon,SB,37,42,Atmospheric CO2,0.0
morning1,Sheldon,SB,37,42,Nitrous Oxide,0.0
morning1,Sheldon,SB,37,42,Methane,0.0
morning1,Sheldon,SB,37,42,Total Gaseous Hydrocarbons,0.0
morning1,Sheldon,SB,37,21,Total Energy,4955812354.08
morning1,Sheldon,SB,37,21,Atmospheric CO2,356228.86425620003
morning1,Sheldon,SB,37,21,Nitrous Oxide,1.39341116233
morning1,Sheldon,SB,37,21,Methane,6.672310935532602
morning1,Sheldon,SB,37,21,Total Gaseous Hydrocarbons,57.991140737999984
morning1,Sheldon,SB,36,61,Total Energy,0.0
morning1,Sheldon,SB,36,61,Atmospheric CO2,0.0
morning1,Sheldon,SB,36,61,Nitrous Oxide,0.0
morning1,Sheldon,SB,36,61,Methane,0.0
morning1,Sheldon,SB,36,61,Total Gaseous Hydrocarbons,0.0
morning1,Sheldon,SB,36,52,Total Energy,1359709197.0
morning1,Sheldon,SB,36,52,Atmospheric CO2,99382.26170000005
morning1,Sheldon,SB,36,52,Nitrous Oxide,0.445822108
morning1,Sheldon,SB,36,52,Methane,2.9910908837799988
morning1,Sheldon,SB,36,52,Total Gaseous Hydrocarbons,35.54191680000001
morning1,Sheldon,SB,36,42,Total Energy,0.0
morning1,Sheldon,SB,36,42,Atmospheric CO2,0.0
morning1,Sheldon,SB,36,42,Nitrous Oxide,0.0
morning1,Sheldon,SB,36,42,Methane,0.0
morning1,Sheldon,SB,36,42,Total Gaseous Hydrocarbons,0.0
morning1,Sheldon,SB,36,21,Total Energy,4349760170.49
morning1,Sheldon,SB,36,21,Atmospheric CO2,312665.04719630006
morning1,Sheldon,SB,36,21,Nitrous Oxide,1.5770888082410004
morning1,Sheldon,SB,36,21,Methane,4.1140323272536
morning1,Sheldon,SB,36,21,Total Gaseous Hydrocarbons,41.611234712000005
morning1,Sheldon,SB,35,61,Total Energy,0.0
morning1,Sheldon,SB,35,61,Atmospheric CO2,0.0
morning1,Sheldon,SB,35,61,Nitrous Oxide,0.0
morning1,Sheldon,SB,35,61,Methane,0.0
morning1,Sheldon,SB,35,61,Total Gaseous Hydrocarbons,0.0
morning1,Sheldon,SB,35,52,Total Energy,240472122.0
morning1,Sheldon,SB,35,52,Atmospheric CO2,17569.7095
morning1,Sheldon,SB,35,52,Nitrous Oxide,0.06408124460000002
morning1,Sheldon,SB,35,52,Methane,0.50941325428
morning1,Sheldon,SB,35,52,Total Gaseous Hydrocarbons,7.947548400000003
morning1,Sheldon,SB,35,42,Total Energy,372394788.81
morning1,Sheldon,SB,35,42,Atmospheric CO2,27416.17982999999
morning1,Sheldon,SB,35,42,Nitrous Oxide,0.04985683529999999
morning1,Sheldon,SB,35,42,Methane,0.8257576641129998
morning1,Sheldon,SB,35,42,Total Gaseous Hydrocarbons,7.226078699999999
morning1,Sheldon,SB,35,21,Total Energy,2011344956.992
morning1,Sheldon,SB,35,21,Atmospheric CO2,144577.48848060006
morning1,Sheldon,SB,35,21,Nitrous Oxide,0.6495256931063002
morning1,Sheldon,SB,35,21,Methane,2.3197675991164792
morning1,Sheldon,SB,35,21,Total Gaseous Hydrocarbons,21.628037549
morning1,Sheldon,SB,34,61,Total Energy,518668553.40281004
morning1,Sheldon,SB,34,61,Atmospheric CO2,38205.65395011598
morning1,Sheldon,SB,34,61,Nitrous Oxide,0.026519303965779995
morning1,Sheldon,SB,34,61,Methane,0.5024276766383938
morning1,Sheldon,SB,34,61,Total Gaseous Hydrocarbons,3.529869526850001
morning1,Sheldon,SB,34,52,Total Energy,1265313011.0
morning1,Sheldon,SB,34,52,Atmospheric CO2,92419.19309999999
morning1,Sheldon,SB,34,52,Nitrous Oxide,0.350018248
morning1,Sheldon,SB,34,52,Methane,2.8473603882100007
morning1,Sheldon,SB,34,52,Total Gaseous Hydrocarbons,33.632107899999994
morning1,Sheldon,SB,34,42,Total Energy,1181105129.37
morning1,Sheldon,SB,34,42,Atmospheric CO2,86953.97568899997
morning1,Sheldon,SB,34,42,Nitrous Oxide,0.09548354156999998
morning1,Sheldon,SB,34,42,Methane,1.8568185625629996
morning1,Sheldon,SB,34,42,Total Gaseous Hydrocarbons,18.69340403
morning1,Sheldon,SB,34,21,Total Energy,2456828117.13
morning1,Sheldon,SB,34,21,Atmospheric CO2,176599.22004669992
morning1,Sheldon,SB,34,21,Nitrous Oxide,0.8227722037418996
morning1,Sheldon,SB,34,21,Methane,2.60029750745221
morning1,Sheldon,SB,34,21,Total Gaseous Hydrocarbons,24.664067541
morning1,Sheldon,SB,33,61,Total Energy,1610629058.8502998
morning1,Sheldon,SB,33,61,Atmospheric CO2,118640.6163554
morning1,Sheldon,SB,33,61,Nitrous Oxide,0.15112522586420002
morning1,Sheldon,SB,33,61,Methane,2.404100646383316
morning1,Sheldon,SB,33,61,Total Gaseous Hydrocarbons,17.8558582816
morning1,Sheldon,SB,33,52,Total Energy,739157199.0
morning1,Sheldon,SB,33,52,Atmospheric CO2,54003.87039999999
morning1,Sheldon,SB,33,52,Nitrous Oxide,0.24633119219999994
morning1,Sheldon,SB,33,52,Methane,1.7962383180600003
morning1,Sheldon,SB,33,52,Total Gaseous Hydrocarbons,20.314870699999997
morning1,Sheldon,SB,33,42,Total Energy,0.0
morning1,Sheldon,SB,33,42,Atmospheric CO2,0.0
morning1,Sheldon,SB,33,42,Nitrous Oxide,0.0
morning1,Sheldon,SB,33,42,Methane,0.0
morning1,Sheldon,SB,33,42,Total Gaseous Hydrocarbons,0.0
morning1,Sheldon,SB,33,21,Total Energy,2807561979.891
morning1,Sheldon,SB,33,21,Atmospheric CO2,201810.36447739997
morning1,Sheldon,SB,33,21,Nitrous Oxide,1.1412174698736999
morning1,Sheldon,SB,33,21,Methane,2.51351269817349
morning1,Sheldon,SB,33,21,Total Gaseous Hydrocarbons,26.714120254000004
morning1,Sheldon,SB,32,61,Total Energy,473411932.93852
morning1,Sheldon,SB,32,61,Atmospheric CO2,34872.026720977
morning1,Sheldon,SB,32,61,Nitrous Oxide,0.0719695165764
morning1,Sheldon,SB,32,61,Methane,1.5658996805726297
morning1,Sheldon,SB,32,61,Total Gaseous Hydrocarbons,11.504357274371
morning1,Sheldon,SB,32,52,Total Energy,1061504541.0
morning1,Sheldon,SB,32,52,Atmospheric CO2,77587.2353
morning1,Sheldon,SB,32,52,Nitrous Oxide,0.32116420779999993
morning1,Sheldon,SB,32,52,Methane,2.362373655530001
morning1,Sheldon,SB,32,52,Total Gaseous Hydrocarbons,30.887454499999997
morning1,Sheldon,SB,32,42,Total Energy,0.0
morning1,Sheldon,SB,32,42,Atmospheric CO2,0.0
morning1,Sheldon,SB,32,42,Nitrous Oxide,0.0
morning1,Sheldon,SB,32,42,Methane,0.0
morning1,Sheldon,SB,32,42,Total Gaseous Hydrocarbons,0.0
morning1,Sheldon,SB,32,21,Total Energy,3410317247.222
morning1,Sheldon,SB,32,21,Atmospheric CO2,245137.10817079997
morning1,Sheldon,SB,32,21,Nitrous Oxide,0.9176495527546
morning1,Sheldon,SB,32,21,Methane,6.099047109619699
morning1,Sheldon,SB,32,21,Total Gaseous Hydrocarbons,49.460805895000014
morning1,Sheldon,SB,31,61,Total Energy,0.0
morning1,Sheldon,SB,31,61,Atmospheric CO2,0.0
morning1,Sheldon,SB,31,61,Nitrous Oxide,0.0
morning1,Sheldon,SB,31,61,Methane,0.0
morning1,Sheldon,SB,31,61,Total Gaseous Hydrocarbons,0.0
morning1,Sheldon,SB,31,52,Total Energy,2540551410.0
morning1,Sheldon,SB,31,52,Atmospheric CO2,185840.767
morning1,Sheldon,SB,31,52,Nitrous Oxide,0.7280512120000002
morning1,Sheldon,SB,31,52,Methane,5.8666235126
morning1,Sheldon,SB,31,52,Total Gaseous Hydrocarbons,68.04843700000002
morning1,Sheldon,SB,31,42,Total Energy,343258968.1399999
morning1,Sheldon,SB,31,42,Atmospheric CO2,25270.37173900001
morning1,Sheldon,SB,31,42,Nitrous Oxide,0.03866289170999998
morning1,Sheldon,SB,31,42,Methane,0.7459830634819998
morning1,Sheldon,SB,31,42,Total Gaseous Hydrocarbons,6.442574710000001
morning1,Sheldon,SB,31,21,Total Energy,4350455940.66
morning1,Sheldon,SB,31,21,Atmospheric CO2,312714.8679302
morning1,Sheldon,SB,31,21,Nitrous Oxide,1.2212567871487
morning1,Sheldon,SB,31,21,Methane,6.746773320368699
morning1,Sheldon,SB,31,21,Total Gaseous Hydrocarbons,56.464475783000005
morning1,Sheldon,SB,30,61,Total Energy,0.0
morning1,Sheldon,SB,30,61,Atmospheric CO2,0.0
morning1,Sheldon,SB,30,61,Nitrous Oxide,0.0
morning1,Sheldon,SB,30,61,Methane,0.0
morning1,Sheldon,SB,30,61,Total Gaseous Hydrocarbons,0.0
morning1,Sheldon,SB,30,52,Total Energy,1040186398.0
morning1,Sheldon,SB,30,52,Atmospheric CO2,75979.7382
morning1,Sheldon,SB,30,52,Nitrous Oxide,0.3135530316
morning1,Sheldon,SB,30,52,Methane,2.4782898631599983
morning1,Sheldon,SB,30,52,Total Gaseous Hydrocarbons,26.183514000000006
morning1,Sheldon,SB,30,42,Total Energy,237540411.60000002
morning1,Sheldon,SB,30,42,Atmospheric CO2,17485.86314100001
morning1,Sheldon,SB,30,42,Nitrous Oxide,0.04378628997000001
morning1,Sheldon,SB,30,42,Methane,0.889373434979
morning1,Sheldon,SB,30,42,Total Gaseous Hydrocarbons,8.657409353999997
morning1,Sheldon,SB,30,21,Total Energy,2827511124.041
morning1,Sheldon,SB,30,21,Atmospheric CO2,203244.31463220002
morning1,Sheldon,SB,30,21,Nitrous Oxide,0.9839797839750998
morning1,Sheldon,SB,30,21,Methane,3.548555981758199
morning1,Sheldon,SB,30,21,Total Gaseous Hydrocarbons,32.537894579
morning1,Sheldon,SB,29,61,Total Energy,2104550235.1462
morning1,Sheldon,SB,29,61,Atmospheric CO2,155023.33922936
morning1,Sheldon,SB,29,61,Nitrous Oxide,0.19664328069670006
morning1,Sheldon,SB,29,61,Methane,3.918592438737913
morning1,Sheldon,SB,29,61,Total Gaseous Hydrocarbons,28.797173199120003
morning1,Sheldon,SB,29,52,Total Energy,568945419.0
morning1,Sheldon,SB,29,52,Atmospheric CO2,41602.2416
morning1,Sheldon,SB,29,52,Nitrous Oxide,0.13669440719999998
morning1,Sheldon,SB,29,52,Methane,0.9986824788000002
morning1,Sheldon,SB,29,52,Total Gaseous Hydrocarbons,15.3320741
morning1,Sheldon,SB,29,42,Total Energy,0.0
morning1,Sheldon,SB,29,42,Atmospheric CO2,0.0
morning1,Sheldon,SB,29,42,Nitrous Oxide,0.0
morning1,Sheldon,SB,29,42,Methane,0.0
morning1,Sheldon,SB,29,42,Total Gaseous Hydrocarbons,0.0
morning1,Sheldon,SB,29,21,Total Energy,4856300215.01
morning1,Sheldon,SB,29,21,Atmospheric CO2,349075.5335678001
morning1,Sheldon,SB,29,21,Nitrous Oxide,1.4450122792830002
morning1,Sheldon,SB,29,21,Methane,6.1745341126332995
morning1,Sheldon,SB,29,21,Total Gaseous Hydrocarbons,55.299597306
morning1,Sheldon,SB,28,61,Total Energy,2630610686.7399993
morning1,Sheldon,SB,28,61,Atmospheric CO2,193773.6557628299
morning1,Sheldon,SB,28,61,Nitrous Oxide,0.24659508134449998
morning1,Sheldon,SB,28,61,Methane,3.67540789707529
morning1,Sheldon,SB,28,61,Total Gaseous Hydrocarbons,27.27487615565
morning1,Sheldon,SB,28,52,Total Energy,731999297.0
morning1,Sheldon,SB,28,52,Atmospheric CO2,53535.14939999997
morning1,Sheldon,SB,28,52,Nitrous Oxide,0.26491865980000007
morning1,Sheldon,SB,28,52,Methane,1.4810270893600002
morning1,Sheldon,SB,28,52,Total Gaseous Hydrocarbons,17.894586299999993
morning1,Sheldon,SB,28,42,Total Energy,0.0
morning1,Sheldon,SB,28,42,Atmospheric CO2,0.0
morning1,Sheldon,SB,28,42,Nitrous Oxide,0.0
morning1,Sheldon,SB,28,42,Methane,0.0
morning1,Sheldon,SB,28,42,Total Gaseous Hydrocarbons,0.0
morning1,Sheldon,SB,28,21,Total Energy,3717396532.958
morning1,Sheldon,SB,28,21,Atmospheric CO2,267209.5459202
morning1,Sheldon,SB,28,21,Nitrous Oxide,1.428767272971
morning1,Sheldon,SB,28,21,Methane,4.202445208359101
morning1,Sheldon,SB,28,21,Total Gaseous Hydrocarbons,41.134712306
morning1,Sheldon,SB,27,61,Total Energy,0.0
morning1,Sheldon,SB,27,61,Atmospheric CO2,0.0
morning1,Sheldon,SB,27,61,Nitrous Oxide,0.0
morning1,Sheldon,SB,27,61,Methane,0.0
morning1,Sheldon,SB,27,61,Total Gaseous Hydrocarbons,0.0
morning1,Sheldon,SB,27,52,Total Energy,0.0
morning1,Sheldon,SB,27,52,Atmospheric CO2,0.0
morning1,Sheldon,SB,27,52,Nitrous Oxide,0.0
morning1,Sheldon,SB,27,52,Methane,0.0
morning1,Sheldon,SB,27,52,Total Gaseous Hydrocarbons,0.0
morning1,Sheldon,SB,27,42,Total Energy,0.0
morning1,Sheldon,SB,27,42,Atmospheric CO2,0.0
morning1,Sheldon,SB,27,42,Nitrous Oxide,0.0
morning1,Sheldon,SB,27,42,Methane,0.0
morning1,Sheldon,SB,27,42,Total Gaseous Hydrocarbons,0.0
morning1,Sheldon,SB,27,21,Total Energy,3071275814.167
morning1,Sheldon,SB,27,21,Atmospheric CO2,220766.54834480005
morning1,Sheldon,SB,27,21,Nitrous Oxide,0.8012293209696
morning1,Sheldon,SB,27,21,Methane,5.247482406925399
morning1,Sheldon,SB,27,21,Total Gaseous Hydrocarbons,42.69697918800001
morning1,Sheldon,SB,26,61,Total Energy,0.0
morning1,Sheldon,SB,26,61,Atmospheric CO2,0.0
morning1,Sheldon,SB,26,61,Nitrous Oxide,0.0
morning1,Sheldon,SB,26,61,Methane,0.0
morning1,Sheldon,SB,26,61,Total Gaseous Hydrocarbons,0.0
morning1,Sheldon,SB,26,52,Total Energy,192413563.0
morning1,Sheldon,SB,26,52,Atmospheric CO2,14067.48684
morning1,Sheldon,SB,26,52,Nitrous Oxide,0.04537485150000001
morning1,Sheldon,SB,26,52,Methane,0.350519133723
morning1,Sheldon,SB,26,52,Total Gaseous Hydrocarbons,5.397069660000002
morning1,Sheldon,SB,26,42,Total Energy,0.0
morning1,Sheldon,SB,26,42,Atmospheric CO2,0.0
morning1,Sheldon,SB,26,42,Nitrous Oxide,0.0
morning1,Sheldon,SB,26,42,Methane,0.0
morning1,Sheldon,SB,26,42,Total Gaseous Hydrocarbons,0.0
morning1,Sheldon,SB,26,21,Total Energy,4154355831.5
morning1,Sheldon,SB,26,21,Atmospheric CO2,298619.36420279986
morning1,Sheldon,SB,26,21,Nitrous Oxide,1.3392976681384001
morning1,Sheldon,SB,26,21,Methane,4.741952889706601
morning1,Sheldon,SB,26,21,Total Gaseous Hydrocarbons,43.98353816399999
morning1,Sheldon,SB,25,61,Total Energy,4821424099.163499
morning1,Sheldon,SB,25,61,Atmospheric CO2,355151.18772826
morning1,Sheldon,SB,25,61,Nitrous Oxide,0.41944083137500004
morning1,Sheldon,SB,25,61,Methane,7.84912189033786
morning1,Sheldon,SB,25,61,Total Gaseous Hydrocarbons,58.404423945539996
morning1,Sheldon,SB,25,52,Total Energy,965515069.0
morning1,Sheldon,SB,25,52,Atmospheric CO2,70516.96899999998
morning1,Sheldon,SB,25,52,Nitrous Oxide,0.30446467439999997
morning1,Sheldon,SB,25,52,Methane,2.4027683153699995
morning1,Sheldon,SB,25,52,Total Gaseous Hydrocarbons,24.601078199999986
morning1,Sheldon,SB,25,42,Total Energy,0.0
morning1,Sheldon,SB,25,42,Atmospheric CO2,0.0
morning1,Sheldon,SB,25,42,Nitrous Oxide,0.0
morning1,Sheldon,SB,25,42,Methane,0.0
morning1,Sheldon,SB,25,42,Total Gaseous Hydrocarbons,0.0
morning1,Sheldon,SB,25,21,Total Energy,2501372225.859
morning1,Sheldon,SB,25,21,Atmospheric CO2,179801.35223229998
morning1,Sheldon,SB,25,21,Nitrous Oxide,0.8623782213139
morning1,Sheldon,SB,25,21,Methane,2.44405049827285
morning1,Sheldon,SB,25,21,Total Gaseous Hydrocarbons,24.032761178999998
morning1,Sheldon,SB,24,61,Total Energy,2500107277.9131994
morning1,Sheldon,SB,24,61,Atmospheric CO2,184160.62239496
morning1,Sheldon,SB,24,61,Nitrous Oxide,0.25590031525020007
morning1,Sheldon,SB,24,61,Methane,4.417386712841228
morning1,Sheldon,SB,24,61,Total Gaseous Hydrocarbons,31.35451559059
morning1,Sheldon,SB,24,52,Total Energy,0.0
morning1,Sheldon,SB,24,52,Atmospheric CO2,0.0
morning1,Sheldon,SB,24,52,Nitrous Oxide,0.0
morning1,Sheldon,SB,24,52,Methane,0.0
morning1,Sheldon,SB,24,52,Total Gaseous Hydrocarbons,0.0
morning1,Sheldon,SB,24,42,Total Energy,0.0
morning1,Sheldon,SB,24,42,Atmospheric CO2,0.0
morning1,Sheldon,SB,24,42,Nitrous Oxide,0.0
morning1,Sheldon,SB,24,42,Methane,0.0
morning1,Sheldon,SB,24,42,Total Gaseous Hydrocarbons,0.0
morning1,Sheldon,SB,24,21,Total Energy,2752661952.5559998
morning1,Sheldon,SB,24,21,Atmospheric CO2,197863.73178649996
morning1,Sheldon,SB,24,21,Nitrous Oxide,1.0971126296189
morning1,Sheldon,SB,24,21,Methane,4.266638716913401
morning1,Sheldon,SB,24,21,Total Gaseous Hydrocarbons,38.283230466999996
morning1,Sheldon,SB,23,61,Total Energy,3892697945.2117
morning1,Sheldon,SB,23,61,Atmospheric CO2,286740.3436819398
morning1,Sheldon,SB,23,61,Nitrous Oxide,0.3130264551417001
morning1,Sheldon,SB,23,61,Methane,6.012336776423471
morning1,Sheldon,SB,23,61,Total Gaseous Hydrocarbons,43.71184245822
morning1,Sheldon,SB,23,52,Total Energy,537514744.0
morning1,Sheldon,SB,23,52,Atmospheric CO2,39287.68550000002
morning1,Sheldon,SB,23,52,Nitrous Oxide,0.1681431132
morning1,Sheldon,SB,23,52,Methane,1.1895467097800005
morning1,Sheldon,SB,23,52,Total Gaseous Hydrocarbons,17.040817800000003
morning1,Sheldon,SB,23,42,Total Energy,1392415804.65
morning1,Sheldon,SB,23,42,Atmospheric CO2,102509.53942799999
morning1,Sheldon,SB,23,42,Nitrous Oxide,0.16436332746999996
morning1,Sheldon,SB,23,42,Methane,2.92996118682
morning1,Sheldon,SB,23,42,Total Gaseous Hydrocarbons,25.30613543000001
morning1,Sheldon,SB,23,21,Total Energy,4033347886.81
morning1,Sheldon,SB,23,21,Atmospheric CO2,289920.92897979997
morning1,Sheldon,SB,23,21,Nitrous Oxide,1.1551329005389002
morning1,Sheldon,SB,23,21,Methane,7.083835122944901
morning1,Sheldon,SB,23,21,Total Gaseous Hydrocarbons,58.56495297100001
morning1,Sheldon,SB,22,61,Total Energy,4099635798.794001
morning1,Sheldon,SB,22,61,Atmospheric CO2,301983.25298845983
morning1,Sheldon,SB,22,61,Nitrous Oxide,0.32637530083689986
morning1,Sheldon,SB,22,61,Methane,7.026072770652351
morning1,Sheldon,SB,22,61,Total Gaseous Hydrocarbons,53.314894692520014
morning1,Sheldon,SB,22,52,Total Energy,92250321.9
morning1,Sheldon,SB,22,52,Atmospheric CO2,6740.540139999999
morning1,Sheldon,SB,22,52,Nitrous Oxide,0.018214386780000005
morning1,Sheldon,SB,22,52,Methane,0.1545939456309999
morning1,Sheldon,SB,22,52,Total Gaseous Hydrocarbons,2.1480696999999997
morning1,Sheldon,SB,22,42,Total Energy,35806086.614
morning1,Sheldon,SB,22,42,Atmospheric CO2,2636.4541959
morning1,Sheldon,SB,22,42,Nitrous Oxide,0.007630673920000002
morning1,Sheldon,SB,22,42,Methane,0.13308992460400002
morning1,Sheldon,SB,22,42,Total Gaseous Hydrocarbons,1.0865646313999995
morning1,Sheldon,SB,22,21,Total Energy,4947745641.389999
morning1,Sheldon,SB,22,21,Atmospheric CO2,355648.924789
morning1,Sheldon,SB,22,21,Nitrous Oxide,1.4949126260110002
morning1,Sheldon,SB,22,21,Methane,5.763150890383802
morning1,Sheldon,SB,22,21,Total Gaseous Hydrocarbons,52.362929218
morning1,Sheldon,SB,21,61,Total Energy,4981493987.478998
morning1,Sheldon,SB,21,61,Atmospheric CO2,366941.96756933996
morning1,Sheldon,SB,21,61,Nitrous Oxide,0.3268677922612001
morning1,Sheldon,SB,21,61,Methane,6.126907215323732
morning1,Sheldon,SB,21,61,Total Gaseous Hydrocarbons,44.800186212399986
morning1,Sheldon,SB,21,52,Total Energy,0.0
morning1,Sheldon,SB,21,52,Atmospheric CO2,0.0
morning1,Sheldon,SB,21,52,Nitrous Oxide,0.0
morning1,Sheldon,SB,21,52,Methane,0.0
morning1,Sheldon,SB,21,52,Total Gaseous Hydrocarbons,0.0
morning1,Sheldon,SB,21,42,Total Energy,2796287831.200001
morning1,Sheldon,SB,21,42,Atmospheric CO2,205868.76688000007
morning1,Sheldon,SB,21,42,Nitrous Oxide,0.22162342696999998
morning1,Sheldon,SB,21,42,Methane,3.6193656759999997
morning1,Sheldon,SB,21,42,Total Gaseous Hydrocarbons,34.376136239999994
morning1,Sheldon,SB,21,21,Total Energy,4571025488.95
morning1,Sheldon,SB,21,21,Atmospheric CO2,328569.8379754999
morning1,Sheldon,SB,21,21,Nitrous Oxide,1.0554655513298998
morning1,Sheldon,SB,21,21,Methane,8.186996136777099
morning1,Sheldon,SB,21,21,Total Gaseous Hydrocarbons,65.62364950700001
morning1,Sheldon,SB,20,61,Total Energy,3393922549.017999
morning1,Sheldon,SB,20,61,Atmospheric CO2,249999.78676309
morning1,Sheldon,SB,20,61,Nitrous Oxide,0.2013298800856
morning1,Sheldon,SB,20,61,Methane,4.286147518151038
morning1,Sheldon,SB,20,61,Total Gaseous Hydrocarbons,32.24618215406999
morning1,Sheldon,SB,20,52,Total Energy,0.0
morning1,Sheldon,SB,20,52,Atmospheric CO2,0.0
morning1,Sheldon,SB,20,52,Nitrous Oxide,0.0
morning1,Sheldon,SB,20,52,Methane,0.0
morning1,Sheldon,SB,20,52,Total Gaseous Hydrocarbons,0.0
morning1,Sheldon,SB,20,42,Total Energy,2524301572.2
morning1,Sheldon,SB,20,42,Atmospheric CO2,185839.06949000005
morning1,Sheldon,SB,20,42,Nitrous Oxide,0.25124145187000013
morning1,Sheldon,SB,20,42,Methane,4.950426298769998
morning1,Sheldon,SB,20,42,Total Gaseous Hydrocarbons,49.54652039
morning1,Sheldon,SB,20,21,Total Energy,4148957670.66
morning1,Sheldon,SB,20,21,Atmospheric CO2,298231.2383094999
morning1,Sheldon,SB,20,21,Nitrous Oxide,1.3618885846629998
morning1,Sheldon,SB,20,21,Methane,3.536576175097499
morning1,Sheldon,SB,20,21,Total Gaseous Hydrocarbons,36.093419633
morning1,Sheldon,SB,19,61,Total Energy,3068280346.722699
morning1,Sheldon,SB,19,61,Atmospheric CO2,226012.97963922998
morning1,Sheldon,SB,19,61,Nitrous Oxide,0.2528986111052999
morning1,Sheldon,SB,19,61,Methane,5.393855583748273
