,link,hour,qlength
190,32017,7-8,350.83699999999993
191,32018,7-8,343.99699999999996
192,32019,7-8,337.38699999999994
193,32020,7-8,337.76699999999994
194,32021,7-8,159.46599999999995
195,32022,7-8,76.65699999999993
196,32023,7-8,337.6769999999999
197,32024,7-8,343.77699999999993
198,32025,7-8,337.5469999999999
199,32026,7-8,337.52699999999993
200,32027,7-8,1.3969999999999345
201,32028,7-8,382.11699999999996
202,32029,7-8,39.406999999999925
203,32030,7-8,343.4669999999999
204,32031,7-8,146.79599999999994
205,32032,7-8,146.54599999999994
206,32033,7-8,337.77699999999993
207,32034,7-8,19.287000000000035
208,32035,7-8,337.2869999999999
209,32036,7-8,344.70699999999994
210,32037,7-8,19.466999999999985
211,32038,7-8,0.0
212,32039,7-8,83.60699999999997
213,32040,7-8,83.60699999999997
214,32041,7-8,7.037000000000035
215,41001,7-8,382.4529999999999
216,41002,7-8,564.8359999999999
217,41003,7-8,364.8929999999999
218,41004,7-8,558.016
219,41005,7-8,558.156
220,41006,7-8,49.993999999999915
221,41007,7-8,570.6059999999999
222,41008,7-8,570.2159999999999
223,41009,7-8,570.2159999999999
224,41010,7-8,558.146
225,41011,7-8,570.286
226,41012,7-8,558.1859999999999
227,41013,7-8,570.4959999999999
228,41014,7-8,564.016
229,41015,7-8,564.396
230,41016,7-8,558.376
231,41017,7-8,626.626
232,41018,7-8,575.526
233,41019,7-8,589.0959999999999
234,41020,7-8,565.1159999999999
235,41021,7-8,558.4459999999999
236,41022,7-8,570.9559999999999
237,41023,7-8,576.6659999999999
238,41024,7-8,460.2229999999999
239,41025,7-8,558.396
240,41026,7-8,377.7629999999999
241,41027,7-8,73.66399999999999
242,41028,7-8,558.3359999999999
243,41029,7-8,43.903999999999996
244,42001,7-8,38.636000000000024
245,42002,7-8,25.456000000000017
246,42003,7-8,43.50600000000003
247,42004,7-8,43.32600000000002
248,42005,7-8,58.45799999999997
249,42006,7-8,58.358000000000004
250,42007,7-8,78.988
251,42008,7-8,85.06799999999998
252,42009,7-8,33.58600000000001
253,42010,7-8,60.74799999999999
254,42011,7-8,60.74799999999999
255,42012,7-8,58.108000000000004
256,42013,7-8,63.067999999999984
257,42014,7-8,112.64799999999997
258,42015,7-8,58.99799999999999
259,42016,7-8,27.425999999999988
260,42017,7-8,26.50600000000003
261,42018,7-8,26.01600000000002
262,42019,7-8,26.01600000000002
263,42020,7-8,25.996000000000038
264,42021,7-8,25.996000000000038
265,42022,7-8,49.577999999999975
266,42023,7-8,49.577999999999975
267,42024,7-8,67.358
268,42025,7-8,206.885
269,42026,7-8,52.738
270,42027,7-8,68.358
271,42028,7-8,26.00600000000003
272,51001,7-8,67.93799999999999
273,51002,7-8,30.97999999999996
274,51003,7-8,37.13799999999998
275,51004,7-8,20.24000000000001
276,51005,7-8,20.24000000000001
277,51006,7-8,13.109999999999957
278,51007,7-8,48.827999999999975
279,51008,7-8,48.827999999999975
280,51009,7-8,49.587999999999965
281,51010,7-8,49.548
282,51011,7-8,49.148000000000025
283,51012,7-8,454.76199999999994
284,51013,7-8,51.148000000000025
285,51014,7-8,75.928
286,51015,7-8,75.928
287,51016,7-8,39.19799999999998
288,51017,7-8,24.370000000000005
289,51018,7-8,13.180000000000007
290,51019,7-8,44.01800000000003
291,51020,7-8,43.827999999999975
292,51021,7-8,31.91999999999996
293,51022,7-8,62.988
294,51023,7-8,25.529999999999973
295,51024,7-8,25.789999999999964
296,51025,7-8,25.789999999999964
297,51026,7-8,42.74799999999999
298,51027,7-8,42.74799999999999
299,51028,7-8,14.029999999999973
300,51029,7-8,6.680000000000007
301,51030,7-8,80.31799999999998
302,51031,7-8,80.31799999999998
303,51032,7-8,31.69999999999999
304,51033,7-8,19.109999999999957
305,51034,7-8,32.65999999999997
306,51035,7-8,56.13799999999998
307,51036,7-8,56.13799999999998
308,51037,7-8,31.579999999999984
309,51038,7-8,31.579999999999984
310,51039,7-8,57.327999999999975
311,51040,7-8,67.358
312,51041,7-8,25.639999999999986
313,51042,7-8,25.21999999999997
314,51043,7-8,25.21999999999997
315,51044,7-8,34.148000000000025
316,51045,7-8,81.09800000000001
317,51046,7-8,43.18799999999999
318,51047,7-8,43.18799999999999
319,51048,7-8,25.839999999999975
320,12001,8-9,12.920999999999935
321,12002,8-9,12.920999999999935
322,12003,8-9,7.020999999999958
323,12004,8-9,7.020999999999958
