sim,period,inter,direc,cycle,type,vspfast,vspslow,vspmass,vehicleslow,vehiclefast,avgspeed,avgaccel,avgTT
0,morning1,Dunbar,SB,1,21,1068.3837635628431,293.3709763704104,2013.762909413295,7,13,55.30170305676859,0.265807860262009,52.71666666666667
0,morning1,Dunbar,SB,1,61,0.0,10.030026209684529,230.25959253646158,1,0,11.346,0.25800000000000006,
0,morning1,Dunbar,SB,2,21,1152.7103434443013,216.3354150113137,2024.5448676041633,6,11,56.70204878048769,0.29395121951219516,47.150000000000006
0,morning1,Dunbar,SB,2,61,212.08699309802398,0.0,4868.887038987143,0,1,62.456,0.21000000000000008,32.1
0,morning1,Dunbar,SB,2,42,49.27312099918775,0.0,815.7657912625525,0,1,48.98833333333331,-0.0019444444444444427,
0,morning1,Dunbar,SB,3,21,1817.1178433965488,214.52614866955918,3004.3951354673604,5,18,60.600652741514494,0.14266318537859007,34.589999999999996
0,morning1,Dunbar,SB,4,21,2141.902470750188,119.70830874604246,3344.4700207190253,2,21,59.88331991951719,0.06722334004024146,32.075
0,morning1,Dunbar,SB,4,61,195.5425236595666,63.28914020357553,5942.005754592741,1,2,57.099666666666714,0.12700000000000006,30.5
0,morning1,Dunbar,SB,4,42,37.61154335060647,0.0,622.6967117126408,0,1,59.58,-0.018636363636363635,
0,morning1,Dunbar,SB,5,21,898.1501538462813,137.0784484937717,1530.8960571404702,7,14,57.50744604316556,0.046438848920863314,36.14
0,morning1,Dunbar,SB,6,21,1538.3638555672565,143.34643768371794,2486.913181659541,3,14,61.2671428571427,0.11097264437689972,32.762499999999996
0,morning1,Dunbar,SB,6,61,87.81937154832706,0.0,2016.0717715773474,0,1,63.08133333333332,0.0039999999999999905,29.8
0,morning1,Dunbar,SB,6,52,-9.912311962094591,-10.624289834057308,-175.36204273734106,1,1,56.890344827586226,-0.2672413793103448,
0,morning1,Dunbar,SB,7,52,0.0,28.667620654389168,244.7928127678291,1,0,20.577142857142857,1.49,76.3
0,morning1,Dunbar,SB,7,21,1428.8772620871478,198.99306115956892,2407.2946340172443,7,18,58.987658402204005,0.10344352617079905,39.26666666666667
0,morning1,Dunbar,SB,8,21,1230.4348074749155,544.1262979629863,2624.2209627215693,13,12,49.832649253731354,0.399253731343284,48.040000000000006
0,morning1,Dunbar,SB,8,42,106.40302958101853,13.50431485380117,1985.185994462875,1,1,58.2140625,0.145625,35.9
0,morning1,Dunbar,SB,9,61,111.06826681148556,0.0,2549.7973111027445,0,3,57.407608695652215,0.0013043478260869564,30.7
0,morning1,Dunbar,SB,9,21,2584.9028834487954,-4.846425680533834,3815.387489747705,4,24,60.771842900302154,0.0036555891238671217,30.976923076923075
0,morning1,Dunbar,SB,9,52,54.47863777237103,0.0,465.1930879382762,0,2,62.37322033898305,-0.02305084745762711,30.05
0,morning1,Dunbar,SB,10,21,999.3995847243574,165.62923293713126,1722.8446155578092,6,9,57.20188775510204,0.20494897959183675,36.849999999999994
0,morning1,Dunbar,SB,11,21,748.0675500648113,0.0,1106.2422930358427,0,12,63.55524038461547,-0.032932692307692295,31.116666666666664
0,morning1,Dunbar,SB,11,52,28.043907660838777,0.0,239.4669275159023,0,2,61.111538461538444,0.0,32.8
0,morning1,Dunbar,SB,12,21,636.9534611821299,100.29189328633467,1090.2384301879654,2,4,61.84398230088495,0.20318584070796467,28.9
0,morning1,Dunbar,SB,13,21,2324.667839821885,137.1541864106411,3640.5424123926596,5,28,58.45725581395356,0.029689922480620207,32.28333333333334
0,morning1,Dunbar,SB,14,21,2179.4706878391225,459.34491186588673,3902.2805088437676,8,24,58.39208816705336,0.2241995359628773,35.807692307692314
0,morning1,Dunbar,SB,14,52,0.0,5.308681840500886,45.33083423603706,1,0,5.005,1.04,
0,morning1,Dunbar,SB,14,61,51.13816358997411,0.0,1173.9802534036162,0,2,66.38360000000003,-0.046,27.9
0,morning1,Dunbar,SB,15,21,927.8040483868148,-111.9531280971365,1206.4803409243762,6,21,58.543402298850516,-0.13457471264367818,29.2
0,morning1,Dunbar,SB,15,42,-33.25634792600716,-68.86846335616562,-1690.7783755876526,1,1,59.56818181818183,-0.7654545454545455,
0,morning1,Dunbar,SB,16,21,1348.2168958029463,604.1845183420317,2887.211211237593,10,23,47.309295154184994,0.5179295154185025,63.06666666666667
0,morning1,Dunbar,SB,16,42,0.0,13.692158974352033,226.68738397937227,1,0,5.645714285714285,0.01428571428571417,
0,morning1,Dunbar,SB,16,52,24.838744455237908,0.0,212.0980389032765,0,1,61.625454545454566,0.00409090909090909,34.9
0,morning1,Dunbar,SB,16,61,9.73153104212909,12.825991119881706,517.8536678839024,1,1,39.46333333333334,0.4166666666666667,
0,morning1,Dunbar,SB,17,21,936.496323205137,766.4910906506548,2518.3777876099443,12,15,46.40215859030842,0.44784140969162967,46.95
0,morning1,Dunbar,SB,17,61,0.0,62.16214318045554,1427.0580615337267,1,0,14.741333333333335,-0.23333333333333328,56.8
0,morning1,Dunbar,SB,18,21,1040.9789307564804,76.10476642027047,1651.943371384979,1,8,62.64530612244898,0.13928571428571432,37.0
0,morning1,Dunbar,SB,18,52,52.47390834284328,0.0,448.07470333953876,0,1,52.465,0.8149999999999998,
0,morning1,Dunbar,SB,19,21,1286.8764748516812,-32.33080583761413,1855.222135338002,2,17,61.53470119521914,0.06932270916334662,30.639999999999997
0,morning1,Dunbar,SB,19,61,43.1277980631083,0.0,990.0860677131229,0,3,62.56541666666667,-0.04416666666666667,
0,morning1,Dunbar,SB,19,52,4.5665029431990485,0.0,38.99336863197667,0,1,55.77,0.0,
