sim,period,inter,direc,cycle,type,fuel
0,morning1,Bishop,NB,8,52,25.734870729899516
0,morning1,Bishop,NB,9,21,215.5008217783229
0,morning1,Bishop,NB,9,61,22.93169001967666
0,morning1,Bishop,NB,10,21,588.2710016602356
0,morning1,Bishop,NB,10,61,15.42821592828306
0,morning1,Bishop,NB,10,42,17.627649089725576
0,morning1,Bishop,NB,11,21,444.5202643882639
0,morning1,Bishop,NB,11,42,0.7657879137796467
0,morning1,Bishop,NB,12,21,616.5456253410883
0,morning1,Bishop,NB,12,42,44.80626021229687
0,morning1,Bishop,NB,12,61,26.090638760535953
0,morning1,Bishop,NB,12,52,25.880261593331976
0,morning1,Bishop,NB,13,21,293.4019110376001
0,morning1,Bishop,NB,14,21,405.0921741620736
0,morning1,Bishop,NB,14,42,15.331508814075603
0,morning1,Bishop,NB,14,52,18.732639774815986
0,morning1,Bishop,NB,15,21,496.82162139176364
0,morning1,Bishop,NB,15,52,6.17122749342015
0,morning1,Bishop,NB,16,21,304.91615177737526
0,morning1,Bishop,NB,16,52,10.893214930232345
0,morning1,Bishop,NB,16,42,32.79255783630726
0,morning1,Bishop,NB,17,21,243.60967725541622
0,morning1,Bishop,NB,17,42,3.565127524590492
0,morning1,Bishop,NB,17,52,11.443910042899049
0,morning1,Bishop,NB,18,21,587.3956312547876
0,morning1,Bishop,NB,18,52,22.046297546785567
0,morning1,Bishop,NB,19,21,519.0284745134239
0,morning1,Bishop,NB,20,21,276.5158204189639
0,morning1,Bishop,NB,20,52,9.138643083191402
0,morning1,Bishop,NB,21,21,286.17817357693195
0,morning1,Bishop,NB,21,52,12.482646002546334
0,morning1,Bishop,NB,22,21,679.8382694436806
0,morning1,Bishop,NB,22,52,8.16327052159838
0,morning1,Bishop,NB,23,21,533.9247639971911
0,morning1,Bishop,NB,23,61,21.10172015429863
0,morning1,Bishop,NB,23,52,20.75184882263551
0,morning1,Bishop,NB,24,21,450.33706553363345
0,morning1,Bishop,NB,24,61,3.2645961816659423
0,morning1,Bishop,NB,24,52,3.1071060009252314
0,morning1,Bishop,NB,24,42,63.64812811370051
0,morning1,Bishop,NB,25,21,317.5509200237874
0,morning1,Bishop,NB,25,52,2.8380776836854382
0,morning1,Bishop,NB,26,21,632.1787355707932
0,morning1,Bishop,NB,26,52,34.50804490408076
0,morning1,Bishop,NB,27,52,25.895827531164805
0,morning1,Bishop,NB,27,21,392.41791027493036
0,morning1,Bishop,NB,28,52,11.021042773927228
0,morning1,Bishop,NB,28,21,575.9051946704443
0,morning1,Bishop,NB,28,42,2.814270588263194
0,morning1,Bishop,NB,29,21,486.66593377000225
0,morning1,Bishop,NB,29,42,6.510959841246982
0,morning1,Bishop,NB,29,52,20.473198140588295
0,morning1,Bishop,NB,30,21,205.0816672937172
0,morning1,Bishop,NB,30,52,28.709961879927558
0,morning1,Bishop,NB,30,61,24.566768517619057
0,morning1,Bishop,NB,31,52,4.221275288218831
0,morning1,Bishop,NB,31,21,377.40543298707365
0,morning1,Bishop,NB,31,61,0.634240539576241
0,morning1,Bishop,NB,32,21,579.7037456863359
0,morning1,Bishop,NB,32,52,3.9876529601760415
0,morning1,Bishop,NB,33,21,528.2142253817726
0,morning1,Bishop,NB,34,21,237.7031736121601
0,morning1,Bishop,NB,34,52,45.36775628975638
0,morning1,Bishop,NB,34,61,6.88161591986349
0,morning1,Bishop,NB,35,21,245.7172404793264
0,morning1,Bishop,NB,35,52,7.057576909168054
0,morning1,Bishop,NB,35,61,6.52208754149758
0,morning1,Bishop,NB,36,21,235.65998119951232
0,morning1,Bishop,NB,37,21,649.9225955482441
0,morning1,Bishop,NB,37,42,23.183640960326926
0,morning1,Bishop,NB,37,61,26.009938705310176
0,morning1,Bishop,NB,38,21,167.91041970819353
